size,num,0,1,2,3,4,5,6,7,8
11x11x9,3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-21-22-23-24-25-26-29-30,13,72,72,72,72,72,96,96,87
11x11x9,1-2-18-19-27-28,17,85,85,85,85,85,109,109,100
15x15x13,4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-21-22-23-24-25-26-29-30,18,101,102,102,102,102,125,125,119
15x15x13,1-2-18-19-27-28,23,115,115,115,115,115,138,138,132
20x20x18,3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-21-22-23-24-25-26-29-30,23,133,133,133,133,133,146,146,158
20x20x18,1-2-18-19-27-28,29,136,136,136,136,136,149,149,161
25x25x22,3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-21-22-23-24-25-26-29-30,28,139,139,139,139,139,154,154,166
25x25x22,1-2-18-19-27-28,39,166,166,166,166,166,181,181,193
33x33x29,3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-21-22-23-24-25-26-29-30,38,170,170,170,170,170,185,185,195
33x33x29,1-2-18-19-27-28,45,196,196,196,196,196,211,211,221
40x40x35,3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-21-22-23-24-25-26-29-30,45,200,200,200,200,200,220,220,235
40x40x35,1-2-18-19-27-28,55,225,225,225,225,225,245,245,260
